Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2017-11-06,Samsung calorie adjustment,Cardio,216.0,1,,,,,
2017-11-07,Samsung calorie adjustment,Cardio,408.0,1,,,,,
2017-11-08,Samsung calorie adjustment,Cardio,333.0,1,,,,,
2017-11-09,Samsung calorie adjustment,Cardio,405.0,1,,,,,
2017-11-10,Samsung calorie adjustment,Cardio,109.0,1,,,,,
2017-11-11,Samsung calorie adjustment,Cardio,356.0,1,,,,,
2017-11-12,Samsung calorie adjustment,Cardio,127.0,1,,,,,
2017-11-13,Samsung calorie adjustment,Cardio,169.0,1,,,,,
2017-11-14,Samsung calorie adjustment,Cardio,142.0,1,,,,,
2017-11-15,Samsung calorie adjustment,Cardio,156.0,1,,,,,
2017-11-16,Samsung calorie adjustment,Cardio,307.0,1,,,,,
2017-11-17,Samsung calorie adjustment,Cardio,197.0,1,,,,,
2017-11-18,Samsung calorie adjustment,Cardio,419.0,1,,,,,
2017-11-19,Samsung calorie adjustment,Cardio,126.0,1,,,,,
2017-11-20,Samsung calorie adjustment,Cardio,218.0,1,,,,,
2017-11-21,Samsung calorie adjustment,Cardio,305.0,1,,,,,
2017-11-22,Samsung calorie adjustment,Cardio,200.0,1,,,,,
2017-11-23,Samsung calorie adjustment,Cardio,262.0,1,,,,,
2017-11-24,Samsung calorie adjustment,Cardio,85.0,1,,,,,
2017-11-25,Samsung calorie adjustment,Cardio,342.0,1,,,,,
2017-11-26,Samsung calorie adjustment,Cardio,150.0,1,,,,,
2017-11-27,Samsung calorie adjustment,Cardio,180.0,1,,,,,
2017-11-28,Samsung calorie adjustment,Cardio,281.0,1,,,,,
2017-11-29,Samsung calorie adjustment,Cardio,230.0,1,,,,,
2017-11-30,Samsung calorie adjustment,Cardio,350.0,1,,,,,
2017-12-01,Samsung calorie adjustment,Cardio,259.0,1,,,,,
2017-12-02,Samsung calorie adjustment,Cardio,414.0,1,,,,,
2017-12-03,Samsung calorie adjustment,Cardio,203.0,1,,,,,
2017-12-04,Samsung calorie adjustment,Cardio,255.0,1,,,,,
2017-12-05,Samsung calorie adjustment,Cardio,373.0,1,,,,,
2017-12-06,Samsung calorie adjustment,Cardio,208.0,1,,,,,
2017-12-07,Samsung calorie adjustment,Cardio,400.0,1,,,,,
2017-12-08,Samsung calorie adjustment,Cardio,170.0,1,,,,,
2017-12-09,Samsung calorie adjustment,Cardio,372.0,1,,,,,
2017-12-10,Samsung calorie adjustment,Cardio,124.0,1,,,,,
2017-12-11,Samsung calorie adjustment,Cardio,152.0,1,,,,,
2017-12-12,Samsung calorie adjustment,Cardio,242.0,1,,,,,
2017-12-13,Samsung calorie adjustment,Cardio,251.0,1,,,,,
2017-12-14,Samsung calorie adjustment,Cardio,345.0,1,,,,,
2017-12-15,Samsung calorie adjustment,Cardio,244.0,1,,,,,
2017-12-16,Samsung calorie adjustment,Cardio,301.0,1,,,,,
2017-12-17,Samsung calorie adjustment,Cardio,95.0,1,,,,,
2017-12-18,Samsung calorie adjustment,Cardio,281.0,1,,,,,
2017-12-19,Samsung calorie adjustment,Cardio,296.0,1,,,,,
2017-12-20,Samsung calorie adjustment,Cardio,130.0,1,,,,,
2017-12-21,Samsung calorie adjustment,Cardio,382.0,1,,,,,
2017-12-22,Samsung calorie adjustment,Cardio,147.0,1,,,,,
2017-12-23,Samsung calorie adjustment,Cardio,288.0,1,,,,,
2017-12-24,Samsung calorie adjustment,Cardio,133.0,1,,,,,
